Deck A,Deck B,Different,Same,Jaccard,,
Death's Shadow,Nic Fit,135.0666667,7.466666666,0.052385407,"{""source"": ""Death's Shadow"", ""target"": ""Nic Fit"", ""value"":0.0523854069192727},","{""source"": ""Death's Shadow"", ""target"": ""Nic Fit"", ""value"":0.002744230858097784},"
Death's Shadow,Painter,138,6,0.041666667,"{""source"": ""Death's Shadow"", ""target"": ""Painter"", ""value"":0.04166666666666668},","{""source"": ""Death's Shadow"", ""target"": ""Painter"", ""value"":0.001736111111111112},"
Death's Shadow,Pikula,120.2,14.9,0.110288675,"{""source"": ""Death's Shadow"", ""target"": ""Pikula"", ""value"":0.11028867505551446},","{""source"": ""Death's Shadow"", ""target"": ""Pikula"", ""value"":0.012163591845500856},"
Death's Shadow,Reanimator,127.1666667,11.5,0.082932692,"{""source"": ""Death's Shadow"", ""target"": ""Reanimator"", ""value"":0.08293269230749299},","{""source"": ""Death's Shadow"", ""target"": ""Reanimator"", ""value"":0.006877831453369307},"
Death's Shadow,Slivers,142,4,0.02739726,"{""source"": ""Death's Shadow"", ""target"": ""Slivers"", ""value"":0.027397260273972615},","{""source"": ""Death's Shadow"", ""target"": ""Slivers"", ""value"":0.000750609870519798},"
Death's Shadow,Sneak & Show,111.4307692,19.32307692,0.147782092,"{""source"": ""Death's Shadow"", ""target"": ""Sneak & Show"", ""value"":0.14778209201545014},","{""source"": ""Death's Shadow"", ""target"": ""Sneak & Show"", ""value"":0.021839546720462972},"
Death's Shadow,Stoneblade,97.2,26.4,0.213592233,"{""source"": ""Death's Shadow"", ""target"": ""Stoneblade"", ""value"":0.21359223300970878},","{""source"": ""Death's Shadow"", ""target"": ""Stoneblade"", ""value"":0.04562164200207373},"
Death's Shadow,Storm,103.9555556,23.02222222,0.181309065,"{""source"": ""Death's Shadow"", ""target"": ""Storm"", ""value"":0.18130906545548894},","{""source"": ""Death's Shadow"", ""target"": ""Storm"", ""value"":0.032872977216342775},"
Death's Shadow,UR Delver,88,31,0.260504202,"{""source"": ""Death's Shadow"", ""target"": ""UR Delver"", ""value"":0.2605042016806722},","{""source"": ""Death's Shadow"", ""target"": ""UR Delver"", ""value"":0.06786243909328432},"
Death's Shadow,UWx Control,109.0125,20.525,0.158448326,"{""source"": ""Death's Shadow"", ""target"": ""UWx Control"", ""value"":0.15844832577438975},","{""source"": ""Death's Shadow"", ""target"": ""UWx Control"", ""value"":0.025105871940707142},"
Death's Shadow,Zombie Bombardment,124.4,12.8,0.093294461,"{""source"": ""Death's Shadow"", ""target"": ""Zombie Bombardment"", ""value"":0.09329446064139947},","{""source"": ""Death's Shadow"", ""target"": ""Zombie Bombardment"", ""value"":0.008703856386369635},"
Delver (Other),Doomsday,106,22,0.171875,"{""source"": ""Delver (Other)"", ""target"": ""Doomsday"", ""value"":0.171875},","{""source"": ""Delver (Other)"", ""target"": ""Doomsday"", ""value"":0.029541015625},"
Delver (Other),Dredge,146,2,0.013513514,"{""source"": ""Delver (Other)"", ""target"": ""Dredge"", ""value"":0.013513513513513514},","{""source"": ""Delver (Other)"", ""target"": ""Dredge"", ""value"":0.00018261504747991238},"
Delver (Other),Eldrazi Aggro,141,4.5,0.030927835,"{""source"": ""Delver (Other)"", ""target"": ""Eldrazi Aggro"", ""value"":0.030927835051546393},","{""source"": ""Delver (Other)"", ""target"": ""Eldrazi Aggro"", ""value"":0.0009565309809756616},"
Delver (Other),Elves,134.6666667,7.666666667,0.053864169,"{""source"": ""Delver (Other)"", ""target"": ""Elves"", ""value"":0.0538641686203566},","{""source"": ""Delver (Other)"", ""target"": ""Elves"", ""value"":0.002901348661162209},"
Delver (Other),Food Chain,79,35.5,0.310043668,"{""source"": ""Delver (Other)"", ""target"": ""Food Chain"", ""value"":0.31004366812227074},","{""source"": ""Delver (Other)"", ""target"": ""Food Chain"", ""value"":0.09612707614271276},"
Delver (Other),Goblins,138,6,0.041666667,"{""source"": ""Delver (Other)"", ""target"": ""Goblins"", ""value"":0.041666666666666664},","{""source"": ""Delver (Other)"", ""target"": ""Goblins"", ""value"":0.001736111111111111},"
Delver (Other),Grixis Control,81.25,34.375,0.297297297,"{""source"": ""Delver (Other)"", ""target"": ""Grixis Control"", ""value"":0.2972972972972973},","{""source"": ""Delver (Other)"", ""target"": ""Grixis Control"", ""value"":0.08838568298027759},"
Delver (Other),Grixis Delver,60.5,44.75,0.425178147,"{""source"": ""Delver (Other)"", ""target"": ""Grixis Delver"", ""value"":0.4251781472684085},","{""source"": ""Delver (Other)"", ""target"": ""Grixis Delver"", ""value"":0.18077645691459648},"
Delver (Other),Humans,137,6.5,0.045296167,"{""source"": ""Delver (Other)"", ""target"": ""Humans"", ""value"":0.04529616724738676},","{""source"": ""Delver (Other)"", ""target"": ""Humans"", ""value"":0.002051742767303233},"
Delver (Other),Infect,98.5,26,0.208835341,"{""source"": ""Delver (Other)"", ""target"": ""Infect"", ""value"":0.20883534136546184},","{""source"": ""Delver (Other)"", ""target"": ""Infect"", ""value"":0.043612199803228974},"
Delver (Other),Junk,110,20,0.153846154,"{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"":0.15384615384615385},","{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"":0.02366863905325444},"
Delver (Other),Lands,138.5714286,5.785714286,0.040079169,"{""source"": ""Delver (Other)"", ""target"": ""Lands"", ""value"":0.04007916873009354},","{""source"": ""Delver (Other)"", ""target"": ""Lands"", ""value"":0.0016063397660953079},"
Delver (Other),Legacy Landstill,116,17,0.127819549,"{""source"": ""Delver (Other)"", ""target"": ""Legacy Landstill"", ""value"":0.12781954887218044},","{""source"": ""Delver (Other)"", ""target"": ""Legacy Landstill"", ""value"":0.016337837073887727},"
Delver (Other),LOAM,124.3333333,13,0.094660194,"{""source"": ""Delver (Other)"", ""target"": ""LOAM"", ""value"":0.09466019416770549},","{""source"": ""Delver (Other)"", ""target"": ""LOAM"", ""value"":0.008960552359867705},"
Delver (Other),Maverick,134,7.999999999,0.056338028,"{""source"": ""Delver (Other)"", ""target"": ""Maverick"", ""value"":0.05633802816316208},","{""source"": ""Delver (Other)"", ""target"": ""Maverick"", ""value"":0.0031739734173132435},"
Delver (Other),Merfolk,127,11.5,0.083032491,"{""source"": ""Delver (Other)"", ""target"": ""Merfolk"", ""value"":0.08303249097472924},","{""source"": ""Delver (Other)"", ""target"": ""Merfolk"", ""value"":0.006894394557468493},"
Delver (Other),MUD,142,4,0.02739726,"{""source"": ""Delver (Other)"", ""target"": ""MUD"", ""value"":0.0273972602739726},","{""source"": ""Delver (Other)"", ""target"": ""MUD"", ""value"":0.0007506098705197973},"
Delver (Other),Nic Fit,128.6666667,10.66666667,0.076555024,"{""source"": ""Delver (Other)"", ""target"": ""Nic Fit"", ""value"":0.07655502391331473},","{""source"": ""Delver (Other)"", ""target"": ""Nic Fit"", ""value"":0.00586067168636819},"
Delver (Other),Painter,137,6.5,0.045296167,"{""source"": ""Delver (Other)"", ""target"": ""Painter"", ""value"":0.04529616724738676},","{""source"": ""Delver (Other)"", ""target"": ""Painter"", ""value"":0.002051742767303233},"
Delver (Other),Pikula,120,15,0.111111111,"{""source"": ""Delver (Other)"", ""target"": ""Pikula"", ""value"":0.1111111111111111},","{""source"": ""Delver (Other)"", ""target"": ""Pikula"", ""value"":0.012345679012345678},"
Delver (Other),Reanimator,132.1666667,9,0.063754427,"{""source"": ""Delver (Other)"", ""target"": ""Reanimator"", ""value"":0.06375442739064051},","{""source"": ""Delver (Other)"", ""target"": ""Reanimator"", ""value"":0.004064627011908453},"
Delver (Other),Slivers,140,5,0.034482759,"{""source"": ""Delver (Other)"", ""target"": ""Slivers"", ""value"":0.034482758620689655},","{""source"": ""Delver (Other)"", ""target"": ""Slivers"", ""value"":0.0011890606420927466},"
Delver (Other),Sneak & Show,109.3846154,20.34615385,0.156833679,"{""source"": ""Delver (Other)"", ""target"": ""Sneak & Show"", ""value"":0.15683367922113947},","{""source"": ""Delver (Other)"", ""target"": ""Sneak & Show"", ""value"":0.024596802938039276},"
Delver (Other),Stoneblade,91,29.5,0.244813278,"{""source"": ""Delver (Other)"", ""target"": ""Stoneblade"", ""value"":0.24481327800829875},","{""source"": ""Delver (Other)"", ""target"": ""Stoneblade"", ""value"":0.05993354108916857},"
Delver (Other),Storm,103.5555556,23.22222222,0.183172656,"{""source"": ""Delver (Other)"", ""target"": ""Storm"", ""value"":0.18317265556755416},","{""source"": ""Delver (Other)"", ""target"": ""Storm"", ""value"":0.03355222174766983},"
Delver (Other),UR Delver,78.6,35.7,0.312335958,"{""source"": ""Delver (Other)"", ""target"": ""UR Delver"", ""value"":0.3123359580052493},","{""source"": ""Delver (Other)"", ""target"": ""UR Delver"", ""value"":0.09755375066305687},"
Delver (Other),UWx Control,108.9375,20.5625,0.158783784,"{""source"": ""Delver (Other)"", ""target"": ""UWx Control"", ""value"":0.15878378378378377},","{""source"": ""Delver (Other)"", ""target"": ""UWx Control"", ""value"":0.025212289992695393},"
Delver (Other),Zombie Bombardment,126,12,0.086956522,"{""source"": ""Delver (Other)"", ""target"": ""Zombie Bombardment"", ""value"":0.08695652173913043},","{""source"": ""Delver (Other)"", ""target"": ""Zombie Bombardment"", ""value"":0.007561436672967863},"
Doomsday,Dragon Stompy,142.8333333,3.666666667,0.025028441,"{""source"": ""Doomsday"", ""target"": ""Dragon Stompy"", ""value"":0.025028441413140114},","{""source"": ""Doomsday"", ""target"": ""Dragon Stompy"", ""value"":0.0006264228795709871},"
Doomsday,Dredge,144,3,0.020408163,"{""source"": ""Doomsday"", ""target"": ""Dredge"", ""value"":0.02040816326530612},","{""source"": ""Doomsday"", ""target"": ""Dredge"", ""value"":0.00041649312786339016},"
Doomsday,Elves,141.3333333,4.333333334,0.029748284,"{""source"": ""Doomsday"", ""target"": ""Elves"", ""value"":0.029748283757369005},","{""source"": ""Doomsday"", ""target"": ""Elves"", ""value"":0.0008849603865089446},"
Doomsday,Food Chain,106,22,0.171875,"{""source"": ""Doomsday"", ""target"": ""Food Chain"", ""value"":0.171875},","{""source"": ""Doomsday"", ""target"": ""Food Chain"", ""value"":0.029541015625},"
Doomsday,Goblins,147,1.5,0.01010101,"{""source"": ""Doomsday"", ""target"": ""Goblins"", ""value"":0.010101010101010102},","{""source"": ""Doomsday"", ""target"": ""Goblins"", ""value"":0.0001020304050607081},"
Doomsday,Grixis Control,93.5,28.25,0.232032854,"{""source"": ""Doomsday"", ""target"": ""Grixis Control"", ""value"":0.23203285420944558},","{""source"": ""Doomsday"", ""target"": ""Grixis Control"", ""value"":0.053839245432581825},"
Doomsday,Grixis Delver,103.5,23.25,0.183431953,"{""source"": ""Doomsday"", ""target"": ""Grixis Delver"", ""value"":0.1834319526627219},","{""source"": ""Doomsday"", ""target"": ""Grixis Delver"", ""value"":0.03364728125765904},"
Doomsday,Infect,124.5,13,0.094545455,"{""source"": ""Doomsday"", ""target"": ""Infect"", ""value"":0.09454545454545454},","{""source"": ""Doomsday"", ""target"": ""Infect"", ""value"":0.00893884297520661},"
Doomsday,Junk,140,5,0.034482759,"{""source"": ""Doomsday"", ""target"": ""Junk"", ""value"":0.034482758620689655},","{""source"": ""Doomsday"", ""target"": ""Junk"", ""value"":0.0011890606420927466},"
Doomsday,Lands,148.1428571,1,0.006704981,"{""source"": ""Doomsday"", ""target"": ""Lands"", ""value"":0.006704980842860497},","{""source"": ""Doomsday"", ""target"": ""Lands"", ""value"":4.495676810312626e-05},"
Doomsday,Legacy Landstill,126,12,0.086956522,"{""source"": ""Doomsday"", ""target"": ""Legacy Landstill"", ""value"":0.08695652173913043},","{""source"": ""Doomsday"", ""target"": ""Legacy Landstill"", ""value"":0.007561436672967863},"
Doomsday,LOAM,148.3333333,1,0.006696429,"{""source"": ""Doomsday"", ""target"": ""LOAM"", ""value"":0.006696428571488361},","{""source"": ""Doomsday"", ""target"": ""LOAM"", ""value"":4.484215561304565e-05},"
Doomsday,Merfolk,138,6,0.041666667,"{""source"": ""Doomsday"", ""target"": ""Merfolk"", ""value"":0.041666666666666664},","{""source"": ""Doomsday"", ""target"": ""Merfolk"", ""value"":0.001736111111111111},"
Doomsday,Nic Fit,142,3.999999999,0.02739726,"{""source"": ""Doomsday"", ""target"": ""Nic Fit"", ""value"":0.027397260267873893},","{""source"": ""Doomsday"", ""target"": ""Nic Fit"", ""value"":0.0007506098701856214},"
Doomsday,Painter,138,6,0.041666667,"{""source"": ""Doomsday"", ""target"": ""Painter"", ""value"":0.041666666666666664},","{""source"": ""Doomsday"", ""target"": ""Painter"", ""value"":0.001736111111111111},"
Doomsday,Pikula,139,5.5,0.038062284,"{""source"": ""Doomsday"", ""target"": ""Pikula"", ""value"":0.03806228373702422},","{""source"": ""Doomsday"", ""target"": ""Pikula"", ""value"":0.0014487374432777386},"
Doomsday,Reanimator,118.1666667,16,0.119254658,"{""source"": ""Doomsday"", ""target"": ""Reanimator"", ""value"":0.1192546583764547},","{""source"": ""Doomsday"", ""target"": ""Reanimator"", ""value"":0.014221673544484918},"
Doomsday,Sneak & Show,105.7692308,22.15384616,0.173180998,"{""source"": ""Doomsday"", ""target"": ""Sneak & Show"", ""value"":0.1731809982024475},","{""source"": ""Doomsday"", ""target"": ""Sneak & Show"", ""value"":0.029991658138396125},"
Doomsday,Stoneblade,120.6,14.7,0.10864745,"{""source"": ""Doomsday"", ""target"": ""Stoneblade"", ""value"":0.10864745011086478},","{""source"": ""Doomsday"", ""target"": ""Stoneblade"", ""value"":0.011804268415592852},"
Doomsday,Storm,45.55555555,52.22222222,0.534090909,"{""source"": ""Doomsday"", ""target"": ""Storm"", ""value"":0.5340909091194992},","{""source"": ""Doomsday"", ""target"": ""Storm"", ""value"":0.28525309920409314},"
Doomsday,UR Delver,112,19,0.145038168,"{""source"": ""Doomsday"", ""target"": ""UR Delver"", ""value"":0.14503816793893126},","{""source"": ""Doomsday"", ""target"": ""UR Delver"", ""value"":0.021036070159081627},"
Doomsday,UWx Control,116.5625,16.75,0.125644632,"{""source"": ""Doomsday"", ""target"": ""UWx Control"", ""value"":0.1256446319737459},","{""source"": ""Doomsday"", ""target"": ""UWx Control"", ""value"":0.015786573543818048},"
Doomsday,Zombie Bombardment,132,9,0.063829787,"{""source"": ""Doomsday"", ""target"": ""Zombie Bombardment"", ""value"":0.06382978723404255},","{""source"": ""Doomsday"", ""target"": ""Zombie Bombardment"", ""value"":0.004074241738343141},"
Dragon Stompy,Dredge,144.1666667,3,0.020385051,"{""source"": ""Dragon Stompy"", ""target"": ""Dredge"", ""value"":0.020385050962719746},","{""source"": ""Dragon Stompy"", ""target"": ""Dredge"", ""value"":0.00041555030275268126},"
Dragon Stompy,Eldrazi Aggro,117.7,16.23333333,0.121204579,"{""source"": ""Dragon Stompy"", ""target"": ""Eldrazi Aggro"", ""value"":0.12120457939054559},","{""source"": ""Dragon Stompy"", ""target"": ""Eldrazi Aggro"", ""value"":0.014690550065239068},"
Dragon Stompy,Elves,142.1666667,4,0.027366021,"{""source"": ""Dragon Stompy"", ""target"": ""Elves"", ""value"":0.027366020524452982},","{""source"": ""Dragon Stompy"", ""target"": ""Elves"", ""value"":0.0007488990793447819},"
Dragon Stompy,Goblins,125.8333333,12.16666667,0.088164251,"{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"":0.08816425121078376},","{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"":0.007772935191558187},"
Dragon Stompy,Grixis Control,146.1666667,2,0.013498313,"{""source"": ""Dragon Stompy"", ""target"": ""Grixis Control"", ""value"":0.013498312710971868},","{""source"": ""Dragon Stompy"", ""target"": ""Grixis Control"", ""value"":0.00018220444604318472},"
Dragon Stompy,Grixis Delver,145.8333333,2.166666667,0.01463964,"{""source"": ""Dragon Stompy"", ""target"": ""Grixis Delver"", ""value"":0.014639639641990807},","{""source"": ""Dragon Stompy"", ""target"": ""Grixis Delver"", ""value"":0.00021431904884734872},"
Dragon Stompy,LOAM,135.1666667,7.666666667,0.053675613,"{""source"": ""Dragon Stompy"", ""target"": ""LOAM"", ""value"":0.05367561260531092},","{""source"": ""Dragon Stompy"", ""target"": ""LOAM"", ""value"":0.002881071388555412},"
Dragon Stompy,Merfolk,142.1666667,4,0.027366021,"{""source"": ""Dragon Stompy"", ""target"": ""Merfolk"", ""value"":0.027366020524640204},","{""source"": ""Dragon Stompy"", ""target"": ""Merfolk"", ""value"":0.0007488990793550289},"
Dragon Stompy,MUD,117.5,16.33333333,0.122042341,"{""source"": ""Dragon Stompy"", ""target"": ""MUD"", ""value"":0.12204234121823672},","{""source"": ""Dragon Stompy"", ""target"": ""MUD"", ""value"":0.01489433305002852},"
Dragon Stompy,Nic Fit,144.1666667,3,0.020385051,"{""source"": ""Dragon Stompy"", ""target"": ""Nic Fit"", ""value"":0.020385050963412324},","{""source"": ""Dragon Stompy"", ""target"": ""Nic Fit"", ""value"":0.00041555030278091773},"
Dragon Stompy,Painter,131.8333333,9.166666667,0.06501182,"{""source"": ""Dragon Stompy"", ""target"": ""Painter"", ""value"":0.06501182033379439},","{""source"": ""Dragon Stompy"", ""target"": ""Painter"", ""value"":0.004226536783113562},"
Dragon Stompy,Pikula,144.8333333,2.666666667,0.018079096,"{""source"": ""Dragon Stompy"", ""target"": ""Pikula"", ""value"":0.018079096047580196},","{""source"": ""Dragon Stompy"", ""target"": ""Pikula"", ""value"":0.00032685371389762986},"
Dragon Stompy,Reanimator,143.3333333,3.500000001,0.023836549,"{""source"": ""Dragon Stompy"", ""target"": ""Reanimator"", ""value"":0.02383654938273632},","{""source"": ""Dragon Stompy"", ""target"": ""Reanimator"", ""value"":0.0005681810864756273},"
Dragon Stompy,Slivers,134.1666667,8,0.056271981,"{""source"": ""Dragon Stompy"", ""target"": ""Slivers"", ""value"":0.05627198124293679},","{""source"": ""Dragon Stompy"", ""target"": ""Slivers"", ""value"":0.0031665358730054295},"
Dragon Stompy,Sneak & Show,128.9871795,10.62820513,0.076124885,"{""source"": ""Dragon Stompy"", ""target"": ""Sneak & Show"", ""value"":0.07612488521289898},","{""source"": ""Dragon Stompy"", ""target"": ""Sneak & Show"", ""value"":0.0057949981486770455},"
Dragon Stompy,Storm,145.0555556,2.555555556,0.017312759,"{""source"": ""Dragon Stompy"", ""target"": ""Storm"", ""value"":0.01731275875396354},","{""source"": ""Dragon Stompy"", ""target"": ""Storm"", ""value"":0.00029973161567294114},"
Dragon Stompy,UR Delver,141.2333333,4.466666667,0.0306566,"{""source"": ""Dragon Stompy"", ""target"": ""UR Delver"", ""value"":0.030656600322791043},","{""source"": ""Dragon Stompy"", ""target"": ""UR Delver"", ""value"":0.0009398271433513519},"
Dragon Stompy,Zombie Bombardment,146.1666667,2,0.013498313,"{""source"": ""Dragon Stompy"", ""target"": ""Zombie Bombardment"", ""value"":0.013498312710971868},","{""source"": ""Dragon Stompy"", ""target"": ""Zombie Bombardment"", ""value"":0.00018220444604318472},"
Dredge,Eldrazi Aggro,144.4,2.8,0.019021739,"{""source"": ""Dredge"", ""target"": ""Eldrazi Aggro"", ""value"":0.019021739130434787},","{""source"": ""Dredge"", ""target"": ""Eldrazi Aggro"", ""value"":0.000361826559546314},"
Dredge,Elves,144.6666667,2.666666667,0.018099548,"{""source"": ""Dredge"", ""target"": ""Elves"", ""value"":0.018099547513492763},","{""source"": ""Dredge"", ""target"": ""Elves"", ""value"":0.00032759362019318207},"
Dredge,Food Chain,145,2.5,0.016949153,"{""source"": ""Dredge"", ""target"": ""Food Chain"", ""value"":0.01694915254237288},","{""source"": ""Dredge"", ""target"": ""Food Chain"", ""value"":0.0002872737719046251},"
Dredge,Goblins,144,3,0.020408163,"{""source"": ""Dredge"", ""target"": ""Goblins"", ""value"":0.02040816326530612},","{""source"": ""Dredge"", ""target"": ""Goblins"", ""value"":0.00041649312786339016},"
Dredge,Grixis Control,144.25,2.875,0.019541206,"{""source"": ""Dredge"", ""target"": ""Grixis Control"", ""value"":0.01954120645709431},","{""source"": ""Dredge"", ""target"": ""Grixis Control"", ""value"":0.0003818587497987843},"
Dredge,Grixis Delver,146,2,0.013513514,"{""source"": ""Dredge"", ""target"": ""Grixis Delver"", ""value"":0.013513513513513514},","{""source"": ""Dredge"", ""target"": ""Grixis Delver"", ""value"":0.00018261504747991238},"
Dredge,Humans,148,1,0.006711409,"{""source"": ""Dredge"", ""target"": ""Humans"", ""value"":0.006711409395973154},","{""source"": ""Dredge"", ""target"": ""Humans"", ""value"":4.504301608035674e-05},"
Dredge,Infect,146.5,2,0.013468013,"{""source"": ""Dredge"", ""target"": ""Infect"", ""value"":0.013468013468013467},","{""source"": ""Dredge"", ""target"": ""Infect"", ""value"":0.00018138738677459215},"
Dredge,Legacy Landstill,146,2,0.013513514,"{""source"": ""Dredge"", ""target"": ""Legacy Landstill"", ""value"":0.013513513513513514},","{""source"": ""Dredge"", ""target"": ""Legacy Landstill"", ""value"":0.00018261504747991238},"
Dredge,LOAM,146.3333333,2,0.013483146,"{""source"": ""Dredge"", ""target"": ""LOAM"", ""value"":0.01348314606753693},","{""source"": ""Dredge"", ""target"": ""LOAM"", ""value"":0.0001817952278785366},"
Dredge,Merfolk,146,2,0.013513514,"{""source"": ""Dredge"", ""target"": ""Merfolk"", ""value"":0.013513513513513514},","{""source"": ""Dredge"", ""target"": ""Merfolk"", ""value"":0.00018261504747991238},"
Dredge,MUD,147,1.5,0.01010101,"{""source"": ""Dredge"", ""target"": ""MUD"", ""value"":0.010101010101010102},","{""source"": ""Dredge"", ""target"": ""MUD"", ""value"":0.0001020304050607081},"
Dredge,Nic Fit,136,7,0.048951049,"{""source"": ""Dredge"", ""target"": ""Nic Fit"", ""value"":0.048951048952760506},","{""source"": ""Dredge"", ""target"": ""Nic Fit"", ""value"":0.0023962051935755555},"
Dredge,Painter,143,3.5,0.023890785,"{""source"": ""Dredge"", ""target"": ""Painter"", ""value"":0.023890784982935155},","{""source"": ""Dredge"", ""target"": ""Painter"", ""value"":0.0005707696071008399},"
Dredge,Pikula,147,1.5,0.01010101,"{""source"": ""Dredge"", ""target"": ""Pikula"", ""value"":0.010101010101010102},","{""source"": ""Dredge"", ""target"": ""Pikula"", ""value"":0.0001020304050607081},"
Dredge,Reanimator,133.8333333,8.166666666,0.057511737,"{""source"": ""Dredge"", ""target"": ""Reanimator"", ""value"":0.05751173708410208},","{""source"": ""Dredge"", ""target"": ""Reanimator"", ""value"":0.0033075999024308822},"
Dredge,Slivers,142,4,0.02739726,"{""source"": ""Dredge"", ""target"": ""Slivers"", ""value"":0.0273972602739726},","{""source"": ""Dredge"", ""target"": ""Slivers"", ""value"":0.0007506098705197973},"
Dredge,Sneak & Show,143.4615385,3.307692308,0.022536688,"{""source"": ""Dredge"", ""target"": ""Sneak & Show"", ""value"":0.02253668763269845},","{""source"": ""Dredge"", ""target"": ""Sneak & Show"", ""value"":0.0005079022894538232},"
Dredge,Stoneblade,146,2,0.013513514,"{""source"": ""Dredge"", ""target"": ""Stoneblade"", ""value"":0.013513513513513521},","{""source"": ""Dredge"", ""target"": ""Stoneblade"", ""value"":0.00018261504747991257},"
Dredge,Storm,143.3333333,3.333333333,0.022727273,"{""source"": ""Dredge"", ""target"": ""Storm"", ""value"":0.022727272725413222},","{""source"": ""Dredge"", ""target"": ""Storm"", ""value"":0.0005165289255353117},"
Dredge,UR Delver,146,2,0.013513514,"{""source"": ""Dredge"", ""target"": ""UR Delver"", ""value"":0.01351351351351351},","{""source"": ""Dredge"", ""target"": ""UR Delver"", ""value"":0.00018261504747991227},"
Dredge,UWx Control,146.0625,2,0.013507809,"{""source"": ""Dredge"", ""target"": ""UWx Control"", ""value"":0.013507809202195019},","{""source"": ""Dredge"", ""target"": ""UWx Control"", ""value"":0.00018246090944290443},"
Dredge,Zombie Bombardment,130,10,0.071428571,"{""source"": ""Dredge"", ""target"": ""Zombie Bombardment"", ""value"":0.07142857142857142},","{""source"": ""Dredge"", ""target"": ""Zombie Bombardment"", ""value"":0.00510204081632653},"
Eldrazi Aggro,Elves,141.2,4.4,0.03021978,"{""source"": ""Eldrazi Aggro"", ""target"": ""Elves"", ""value"":0.03021978021957267},","{""source"": ""Eldrazi Aggro"", ""target"": ""Elves"", ""value"":0.0009132351165192757},"
Eldrazi Aggro,Food Chain,143.4,3.3,0.022494888,"{""source"": ""Eldrazi Aggro"", ""target"": ""Food Chain"", ""value"":0.022494887525562376},","{""source"": ""Eldrazi Aggro"", ""target"": ""Food Chain"", ""value"":0.0005060199647877018},"
Eldrazi Aggro,Goblins,129.6,10.2,0.072961373,"{""source"": ""Eldrazi Aggro"", ""target"": ""Goblins"", ""value"":0.07296137339055793},","{""source"": ""Eldrazi Aggro"", ""target"": ""Goblins"", ""value"":0.005323362007036415},"
Eldrazi Aggro,Grixis Control,147.55,1.225,0.00823391,"{""source"": ""Eldrazi Aggro"", ""target"": ""Grixis Control"", ""value"":0.008233910267181987},","{""source"": ""Eldrazi Aggro"", ""target"": ""Grixis Control"", ""value"":6.779727828800495e-05},"
Eldrazi Aggro,Grixis Delver,144.7,2.65,0.017984391,"{""source"": ""Eldrazi Aggro"", ""target"": ""Grixis Delver"", ""value"":0.01798439090600611},","{""source"": ""Eldrazi Aggro"", ""target"": ""Grixis Delver"", ""value"":0.00032343831626003525},"
Eldrazi Aggro,Humans,136.4,6.8,0.047486034,"{""source"": ""Eldrazi Aggro"", ""target"": ""Humans"", ""value"":0.04748603351955308},","{""source"": ""Eldrazi Aggro"", ""target"": ""Humans"", ""value"":0.0022549233794201184},"
Eldrazi Aggro,Infect,147.5,1.5,0.010067114,"{""source"": ""Eldrazi Aggro"", ""target"": ""Infect"", ""value"":0.010067114093959731},","{""source"": ""Eldrazi Aggro"", ""target"": ""Infect"", ""value"":0.00010134678618080266},"
Eldrazi Aggro,Junk,141.2,4.4,0.03021978,"{""source"": ""Eldrazi Aggro"", ""target"": ""Junk"", ""value"":0.03021978021978023},","{""source"": ""Eldrazi Aggro"", ""target"": ""Junk"", ""value"":0.0009132351165318205},"
Eldrazi Aggro,Lands,141.2285714,4.457142857,0.030594234,"{""source"": ""Eldrazi Aggro"", ""target"": ""Lands"", ""value"":0.030594234162310892},","{""source"": ""Eldrazi Aggro"", ""target"": ""Lands"", ""value"":0.0009360071639783108},"
Eldrazi Aggro,Legacy Landstill,147.2,1.4,0.009421265,"{""source"": ""Eldrazi Aggro"", ""target"": ""Legacy Landstill"", ""value"":0.009421265141318979},","{""source"": ""Eldrazi Aggro"", ""target"": ""Legacy Landstill"", ""value"":8.876023686303212e-05},"
Eldrazi Aggro,LOAM,130.3333333,10,0.071258907,"{""source"": ""Eldrazi Aggro"", ""target"": ""LOAM"", ""value"":0.07125890736409747},","{""source"": ""Eldrazi Aggro"", ""target"": ""LOAM"", ""value"":0.005077831878725025},"
Eldrazi Aggro,Maverick,139.4666667,5.266666666,0.036388761,"{""source"": ""Eldrazi Aggro"", ""target"": ""Maverick"", ""value"":0.03638876093589105},","{""source"": ""Eldrazi Aggro"", ""target"": ""Maverick"", ""value"":0.0013241419224494307},"
Eldrazi Aggro,Merfolk,130.6,9.7,0.069137562,"{""source"": ""Eldrazi Aggro"", ""target"": ""Merfolk"", ""value"":0.06913756236635779},","{""source"": ""Eldrazi Aggro"", ""target"": ""Merfolk"", ""value"":0.004780002529962013},"
Eldrazi Aggro,MUD,84.2,32.9,0.280956447,"{""source"": ""Eldrazi Aggro"", ""target"": ""MUD"", ""value"":0.28095644748078563},","{""source"": ""Eldrazi Aggro"", ""target"": ""MUD"", ""value"":0.07893652538102346},"
