Card Name,4-c Control,Affinity,Antiquities War,Arclight Phoenix,Belcher,Bomberman,BUG Midrange,Burn,Canadian Threshold,Cloudpost Ramp,Dark Depths,Death and taxes,Death's Shadow,Delver (Other),Doomsday,Dragon Stompy,Dredge,Eldrazi Aggro,Elves,Food Chain,Goblins,Grixis Control,Grixis Delver,Humans,Infect,Junk,Lands,Legacy Landstill,LOAM,Maverick,Merfolk,MUD,Nic Fit,Painter,Pikula,Reanimator,Slivers,Sneak & Show,Stoneblade,Storm,UR Delver,UWx Control,Zombie Bombardment
Relic of Progenitus,,,,,,,,,,,0.111111111,0.1,,,,,,,,0.5,,,,,,,,,,,1,,,,,,,,,,,,
Remorseful Cleric,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Renegade Rallier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,
Rest in Peace,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,0.2,,,0.25,
Retrofitter Foundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Reveillark,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reverent Silence,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Rift Bolt,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riftstone Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285714286,,,,,,,,,,,,,,,,
Rishadan Port,,,,,,,,,,,,3.5,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,
Risk Factor,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rite of Consumption,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rite of Flame,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888888889,,,
Runed Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
Rushing River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
"Sai, Master Thopterist",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Sanctum Prelate,,,,,,1,,,,,,2,,,,,,,,,,,,2,,,,,,1.666666667,,,,,0.5,,,,,,,,
Savannah,,,,,,,,,,,,0.3,,,,,,,1,,,,,,0.5,2,,,0.666666667,2.666666667,,,1,,,,,,,,,,
Scab-Clan Berserker,,,,,,,,,,,,,,,,2.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalding Tarn,1.5,,,1.2,,,,0.333333333,0.25,,,,,,,,,,,,,3,2,,,,,4,,,,,,,,,,2.923076923,1.2,,3.7,1.125,
Scattered Groves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,
Scavenging Ooze,,,,,,,1,,,,,,,,,,,,0.666666667,,,,,,,,,,0.666666667,1,,,0.333333333,,,,,,,,,,
Scrubland,,,,0.2,,,,,,,,0.1,,,,,,,,,,,,,,1,,,1.333333333,,,,0.666666667,,3.5,0.333333333,,,0.1,,,,
Scryb Ranger,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Seal of Cleansing,,,,,,1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search for Azcanta,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.0625,
Searing Blaze,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searing Blood,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seat of the Synod,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Seething Song,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejiri Steppe,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.142857143,,,,,,,,,,,,,,,,
Serenity,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,
Serra Avenger,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shalai, Voice of Plenty",,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shambling Shell,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Shambling Vent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Shardless Agent,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shattering Spree,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571428571,,,,,,,,,,,,,,,,
Show and Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Shriekmaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Sidewinder Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Siege-Gang Commander,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Sigarda, Host of Herons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,
Silent Arbiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Silent Gravestone,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvergill Adept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Simian Spirit Guide,,,,,4,,,,,,,,,,,4,,0.8,,,,,,,,,,,,,,,,,,0.833333333,,0.076923077,,,,,
Sinew Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Sire of Insanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,
Skeletal Scrying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,0.0625,
Skewer the Critics,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirk Prospector,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Sliver Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Smash to Smithereens,,,,,,,,3.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,0.1,,
Snapcaster Mage,3,,,,,,1,,,,,,,,,,,,,,,2.875,,,,,,3,,,,,,,,,,,2.2,,,2.75,
Sneak Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.769230769,,,,,
Snow-Covered Forest,,,,,,,,,,,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow-Covered Island,0.5,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230769231,,,,,
Snow-Covered Mountain,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow-Covered Plains,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow-Covered Swamp,0.5,,,0.2,,,,,,,0.444444444,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,
Snuff Out,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerous Spyglass,,2,1,,,,,,,1.333333333,0.111111111,,,,,0.333333333,,2.4,,,,,,,,,,,,,,2.5,0.333333333,,,,,0.076923077,,,,,
"Sorin, Lord of Innistrad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,
Spell Pierce,1,,,0.2,,,1,,2.25,,,,0.6,2,,,,,,,,0.5,2.5,,0.5,,,,,,,,,,,,,1.923076923,2.4,,1.6,1.3125,
Spell Snare,,,,,,,,,1.75,,,,,,,,,,,,,,0.25,,,,,2,,,,,,,,,,0.153846154,0.6,,0.2,0.125,
Spellseeker,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spellskite,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Sphere of Resistance,,,,,,,,,,2.333333333,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Spine of Ish Sah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Spire of Industry,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of the Labyrinth,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spreading Seas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Staff of Domination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Standstill,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Steam Vents,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,
Steel Hellkite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Steel Overseer,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steely Resolve,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stifle,,,,,,,,,3.5,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,0.4,,
Stingscourger,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
Stinkweed Imp,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Stitcher's Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Stonecloaker,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneforge Mystic,,,,,,,,,,,,3.9,,,,,,,,,,,,,,4,,,,2,,,,,3.5,,,,4,,,0.125,
Street Wraith,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Striking Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Stubborn Denial,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Submerge,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudden Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,,,
Sulfur Elemental,,,,,,,,,1,,,,,,,1.333333333,,,,,1,0.125,,,,,,,,,,,,,,,,,,,0.1,,
Sulfuric Vortex,,,,,,,,1.166666667,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,
Sundering Titan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Supreme Verdict,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.9,,,0.625,
Surgical Extraction,2.5,,,2.2,,,1.5,0.333333333,2.5,1.666666667,1.888888889,1.4,2.4,2,,,,,,1.5,1,2.375,2.25,3,2.5,3,,2,,1.333333333,1.5,,0.666666667,,2,0.666666667,,0.769230769,1.9,0.333333333,2,2.0625,3
Swamp,0.5,,,0.8,,,1,,,,0.555555556,,0.4,0.5,1,,,,,2,,1.75,,,,1,,,0.333333333,,,,2.333333333,,3.5,3.5,,0.153846154,,1,,,2
Sword of Feast and Famine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.1,,,,
Sword of Fire and Ice,,,,,,,,,,,,0.9,,,,,,,,,,,,,,1,,,,1,,,,,0.5,,,,0.2,,,,
Sword of Light and Shadow,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword of War and Peace,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swords to Plowshares,,,,0.4,,2,,,,,,4,,,,,,,,,,,,,1.5,4,,4,1.666666667,4,,,,,4,,,,4,,,3.9375,
Sylvan Library,,,,,,,,,0.5,,1.333333333,0.2,,0.5,,,,,,1,,,,,0.5,2,1,,1.666666667,1,,,1,,,,,,,,0.1,,
Sylvan Messenger,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sylvan Safekeeper,,,,,,,,,,,2.777777778,,,,,,,,,,,,,,0.5,,0.285714286,,,,,,,,,,,,,,,,
Sylvan Scrying,,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syphon Sliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Taiga,,,,0.2,1,,,,,,0.111111111,,,,,,,,,,,,,,,,2,,0.666666667,,,,,,,0.166666667,,,,,,,
Tainted Strike,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Tarfire,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
Tarmogoyf,1,,,,,,2,,1.75,,,,,2,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,
"Tasigur, the Golden Fang",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teferi, Hero of Dominaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.125,
Temporal Mastery,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tendrils of Agony,,,,0.2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,
Terminus,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,
Terravore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,
"Tezzeret, Artifice Master",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tezzeret's Gambit,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
"Thalia, Guardian of Thraben",,,,,,,,,,,,3.9,,,,,,,,,2,,,4,,,,,2.333333333,4,,,,,1.5,,,,,,,,
"Thalia, Heretic Cathar",,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,
Thalia's Lieutenant,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
The Antiquities War,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
The Rack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
The Tabernacle at Pendrell Vale,,,,,,,,,,0.666666667,0.111111111,,,,,,,,,,,,,,,,1,,0.666666667,,,,,,,,,,,,,,
Thespian's Stage,,,,,,,,,,1.666666667,4,,,,,,,0.2,,,,,,,,,4,,0.333333333,0.333333333,,,,,,0.666666667,,,,,,,
Thing in the Ice,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorn of Amethyst,,4,,,,,,,,0.666666667,,,,,,,,1.6,,,,,,,,,,,,,,2,,,,,,,,,,,
Thought Scour,,,,1.6,,,,,,,,,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thought-Knot Seer,,,3,,,,,,,3.333333333,,,,,,0.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Thoughtcast,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoughtseize,2.5,,,3,,,1,,,,4,0.2,4,2,4,,,,2.666666667,2.5,,2,2.5,,1,4,0.285714286,,,,,,1.333333333,,3.5,1.833333333,,0.307692308,0.2,3.666666667,,,1
Thragtusk,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thran Dynamo,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Throne of Geth,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Through the Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461538462,,,,,
Tidehollow Sculler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.1,,,,
Tidespout Tyrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,
Tinder Wall,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tireless Tracker,,,,,,,,,,,0.111111111,,,,,,,,,,,,,,,,2.285714286,,,1,,,0.333333333,,,,,,,,,,
"Titania, Protector of Argoth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
To the Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.5,,,,,,,,
Tombstalker,,,,,,,1,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Tormod's Crypt,,,2,0.2,,2,,0.5,,0.333333333,,,,,,,,0.6,,,,0.25,,,,,,,,,1,1,,3,,,,,,,,0.0625,
Toxic Deluge,1,,2,,,,1,,,,0.444444444,0.1,0.2,1,,,,,,0.5,,0.5,,,,2,,,0.333333333,,,,0.333333333,,1.5,,,,,,,,
Tranquil Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,0.666666667,,,,,,,,,,,,,,
Trash for Treasure,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse the Ulvenwald,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Traxos, Scourge of Kroog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Tree of Tales,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trickbind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,,,
Trinisphere,,,,,,,,,,1.333333333,,,,,,3.5,,0.6,,,,,,,,,,,,,,3,,,,,,,,,,,
Trinket Mage,,,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,4,,,,,,,,,
Tropical Island,2,,,0.8,,,2,,3,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,0.111111111,0.3,,
True Believer,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True-Name Nemesis,,,,,,,,,2.25,,,,,1,,,,,,,,0.375,1.75,,,,,,,,4,,,,,,,,2.7,,2.4,,
Tsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,
Tundra,,,,0.4,,,,,,,,,,,,,,,,,,,,,0.5,,,3,,,,,,,,,,,2,,,1.6875,
"Ugin, the Spirit Dragon",,,,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,1.5,1.333333333,,,,,,,,,,
"Ulamog, the Ceaseless Hunger",,,,,,,,,,1.333333333,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Umezawa's Jitte,,1,,,,,0.5,,,,,1,,0.5,,,,1,,0.5,,,,,,1,,,,1,1,,,,1,,,,1.1,,,,
Unclaimed Territory,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,
Underground Sea,2.5,,,2.6,,,2.5,,,,,,1.2,3.5,2,,,,,2,,3,3,,1,,,,,,,,0.333333333,,,,,0.153846154,0.2,1.777777778,,0.0625,1
Undiscovered Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Unearth,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
Unexpectedly Absent,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unmask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.166666667,,,,,,,
Unmoored Ego,,,2,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,
"Urborg, Tomb of Yawgmoth",,,,,,,,,,0.333333333,3.555555556,,,,,,,1,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,
Urza's Bauble,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Hexmage,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,
Vapor Snag,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Vault of Whispers,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vault Skirge,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendilion Clique,,,,,,,,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,1,,,,,,,,1,,,0.9375,
Vengeful Pharaoh,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdant Catacombs,1.5,,,,,,2.5,,,,4,0.1,1.2,1.5,,,,,1.666666667,3,,,,,2,1,0.571428571,,4,1.333333333,,,4,,2,0.5,,,,,,,
Vesuva,,,,,,,,,,2.666666667,,,,,,,,1.2,,,,,,,,,,,,,,1,,,,,,,,,,,
Veteran Explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Vindicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,1,,,,,,,,
Vines of Vastwood,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
Viridian Corrupter,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
Volcanic Fallout,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanic Island,1.5,,,1,,,,,3,,,,,,1,,,,,,,2,3.25,,,,,,,,,,,,,,,2.615384615,,1,2.7,0.6875,
Voltaic Key,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vraska, Golgari Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,
Walking Ballista,,4,3,,,4,,,,1.333333333,,0.4,,,,,,2.2,,2.5,,,,,,,,,,,,2.5,,1,,,,,,,,,
Warping Wail,,,,,,,,,,1.666666667,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wasteland,,,,,,,0.5,,4,,1.333333333,4,3.2,4,,,,2.4,,,4,,4,4,0.5,4,4,,4,4,1.5,3.5,,,3,,,,2.3,,3.9,0.1875,
Wastes,,,,,,,,,,0.333333333,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Watery Grave,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wear / Tear,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,1.333333333,,,,,,,
Whirlpool Rider,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Windswept Heath,,,,,,,0.5,,,,0.111111111,0.4,,,,,,,1.666666667,,,,,,1.5,4,1,,1.666666667,4,,,1.666666667,,0.5,,,,0.2,,,0.1875,
Winter Orb,,,,,,,,,0.5,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.4,,
Wipe Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538461538,,,,,
Wirewood Symbiote,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Witchbane Orb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Wooded Foothills,,,,,,,,3.166666667,0.75,,,,,,,,,,1.333333333,,0.5,,,,,,0.857142857,,,1.666666667,,,,,,0.166666667,,,,,0.1,,
Wurmcoil Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Xantid Swarm,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111111111,,,
Young Pyromancer,,,,0.8,,,,,0.75,,,,,,,,,,,,,0.375,3.25,,,,,,,,,,,,,,,0.230769231,,,3.3,,
Zealous Persecution,,,,0.2,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.2,,,,
Zuran Orb,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857143,,,,,,,,,,,,,,,,
